school_name,p
UConn,0.387
Stanford,0.368
Baylor,0.112
South Carolina,0.071
Maryland,0.019
Indiana,0.009
NC State,0.008
UCLA,0.006
Louisville,0.004
Rutgers,0.003
Oregon,0.003
Texas A&M,0.003
Arizona,0.002
Tennessee,0.001
Georgia,0.001
Kentucky,0.000
Lehigh,0.000
Marist,0.000
Marquette,0.000
Mercer,0.000
Michigan St,0.000
Michigan,0.000
MTSU,0.000
Mt St Mary's,0.000
North Carolina,0.000
NC A&T,0.000
Northwestern,0.000
Oklahoma St,0.000
Oregon St,0.000
South Dakota St,0.000
South Dakota,0.000
South Florida,0.000
Missouri St,0.000
SF Austin,0.000
Stony Brook,0.000
Syracuse,0.000
Texas,0.000
Troy,0.000
VCU,0.000
Virginia Tech,0.000
Wake Forest,0.000
Washington St,0.000
West Virginia,0.000
Wright St,0.000
Wyoming,0.000
Belmont,0.000
High Point,0.000
FGCU,0.000
Alabama,0.000
Utah Valley,0.000
Arkansas,0.000
Bradley,0.000
BYU,0.000
UC Davis,0.000
UCF,0.000
C Michigan,0.000
Drexel,0.000
Florida St,0.000
Georgia Tech,0.000
Gonzaga,0.000
Idaho St,0.000
Iowa St,0.000
Iowa,0.000
Jackson St,0.000
