year,round_id,school_id,school_name,bracket,p
2016,1,164,UConn,"{1,1,1,1,1,1,1}",1.0
2016,1,430,Mississippi St.,"{5,3,2,1,1,1,1}",1.0
2016,1,110,UCLA,"{11,6,3,2,1,1,1}",1.0
2016,1,703,Texas,"{15,8,4,2,1,1,1}",1.0
2016,1,51,Baylor,"{17,9,5,3,2,1,1}",1.0
2016,1,234,Florida St.,"{21,11,6,3,2,1,1}",1.0
2016,1,176,DePaul,"{25,13,7,4,2,1,1}",1.0
2016,1,528,Oregon St.,"{31,16,8,4,2,1,1}",1.0
2016,1,648,South Carolina,"{33,17,9,5,3,2,1}",1.0
2016,1,688,Syracuse,"{39,20,10,5,3,2,1}",1.0
2016,1,518,Ohio St.,"{43,22,11,6,3,2,1}",1.0
2016,1,694,Tennessee,"{45,23,12,6,3,2,1}",1.0
2016,1,513,Notre Dame,"{49,25,13,7,4,2,1}",1.0
2016,1,674,Stanford,"{55,28,14,7,4,2,1}",1.0
2016,1,334,Kentucky,"{59,30,15,8,4,2,1}",1.0
2016,1,756,Washington,"{61,31,16,8,4,2,1}",1.0
